Date,Time,Latitude,Longitude,Magnitude
5/3/16,20:20:55,37.204,-97.6108,2.6
5/2/16,3:04:47,37.2265,-97.975,2.6
5/1/16,5:37:39,37.2032,-97.8943,3.3
4/23/16,4:04:59,37.0687,-97.919,2.1
4/5/16,15:43:06,37.0112,-97.744,2.6
4/2/16,23:26:10,37.0549,-97.737,2.6
4/1/16,16:34:57,37.3207,-97.4957,1.9
3/21/16,0:25:57,37.5941,-97.8383,2.8
3/19/16,21:34:39,37.0969,-98.025,2.9
3/15/16,23:11:33,37.1512,-98.0063,2.5
3/15/16,3:07:46,37.052,-97.9097,2.2
3/14/16,23:53:49,37.0027,-98.049,2.5
2/25/16,2:39:39,37.0471,-97.9219,2.6
2/21/16,23:52:14,37.128,-97.647,2.8
2/10/16,20:57:35,37.0461,-97.8908,3
2/5/16,0:28:28,37.0958,-98.0328,2.1
2/4/16,3:47:25,37.0925,-98.0581,2.7
1/1/16,12:25:51,37.1339,-97.6482,2.6
12/31/15,16:31:32,37.1305,-97.6559,2.8
12/31/15,14:16:43,37.0985,-97.6585,2.6
12/29/15,17:46:14,37.2774,-97.6156,2.7
12/23/15,23:03:56,37.3315,-98.8452,2.5
12/12/15,17:24:34,37.1527,-98.0083,2.2
12/7/15,0:51:45,37.0832,-97.6322,2.7
12/1/15,14:29:25,37.2539,-97.839,2.7
11/29/15,12:39:26,37.1856,-97.9546,2.8
11/28/15,18:05:58,37.2028,-97.9737,2.6
11/18/15,0:05:14,37.043,-97.9166,2.2
11/15/15,16:48:18,39.5775,-98.5718,2.6
11/15/15,14:42:07,39.5941,-98.5746,2.9
11/14/15,3:46:49,37.0148,-97.9301,2.8
11/11/15,4:16:59,37.1267,-97.6167,2.0
11/10/15,0:31:39,37.0132,-97.5522,2.6
11/9/15,23:35:17,37.1206,-97.6221,2.6
11/9/15,22:42:06,37.0936,-97.6168,3.6
11/7/15,6:59:46,37.4315,-97.9847,2.9
10/31/15,17:14:19,37.0004,-97.5872,2.9
10/31/15,15:06:53,37.0014,-97.585,2.2
10/31/15,4:17:52,37.0597,-97.7446,2.6
10/30/15,20:03:49,37.0613,-97.526,2.6
10/30/15,4:37:02,37.1512,-97.6095,3.4
10/27/15,3:06:49,37.1245,-97.6214,3.6
10/27/15,2:21:47,37.1206,-97.6078,3.3
10/19/15,11:09:04,37.0449,-97.9106,2.8
10/19/15,3:14:15,37.0582,-97.9155,2.8
10/19/15,0:08:50,37.1256,-97.5983,3.0
10/18/15,19:16:23,37.2483,-97.9995,2.8
10/17/15,13:20:00,37.0532,-97.9381,3.4
10/17/15,12:12:50,37.0352,-97.9292,3.4
10/15/15,5:10:19,37.0515,-97.939,2.8
10/15/15,5:09:56,37.0393,-97.9212,2.9
10/12/15,10:22:58,37.2006,-97.9728,3.0
10/11/15,23:46:16,37.0467,-97.903,3.0
10/10/15,1:25:49,37.2027,-98.0159,3.3
10/10/15,1:23:32,37.2205,-97.9879,3.0
10/3/15,17:33:06,37.0882,-98.0387,2.9
10/3/15,5:11:58,37.1003,-97.6961,3.4
9/28/15,1:39:50,37.062,-97.5183,2.5
9/20/15,11:17:52,37.0374,-97.9131,3.0
9/18/15,2:12:01,37.4453,-98.9217,3.4
9/14/15,21:34:51,37.054,-97.4994,2.9
9/12/15,17:45:05,37.0598,-97.526,2.5
9/12/15,13:12:31,37.2686,-97.5907,2.5
9/12/15,0:55:33,37.0438,-97.9189,3.3
9/7/15,20:13:35,37.2518,-97.5514,1.6
9/6/15,0:24:10,37.0465,-97.5224,2.5
9/5/15,4:04:21,39.2827,-99.3519,2.6
9/3/15,7:21:23,37.2538,-98.0857,2.7
9/2/15,6:04:06,37.1986,-97.9685,2.6
9/1/15,12:21:31,37.0592,-97.8517,2.4
9/1/15,11:41:00,37.0376,-97.5292,3.1
8/29/15,14:39:05,37.056,-97.4919,3.1
8/29/15,12:14:03,37.1056,-98.0008,2.6
8/27/15,23:20:05,37.0579,-97.521,2.8
8/22/15,17:35:24,37.0463,-97.8995,2.3
8/20/15,13:17:54,37.0542,-97.914,3.4
8/8/15,13:57:33,37.038,-97.8931,3.2
8/4/15,16:31:34,37.023,-97.944,2.5
7/27/15,3:43:43,37.072,-97.9973,2.9
7/22/15,17:21:46,37.0082,-97.9117,2.8
7/22/15,3:17:41,37.026,-97.9354,2.9
7/19/15,8:53:18,37.3358,-98.18,2.8
7/14/15,15:33:25,37.0349,-97.915,2.6
7/13/15,2:44:09,37.2391,-98.0407,2.7
7/12/15,1:28:22,37.0528,-97.9469,2.5
7/10/15,5:00:17,37.6119,-97.7634,2.8
7/8/15,23:10:08,37.0133,-99.224,2.7
7/8/15,23:08:24,37.0674,-99.1637,2.6
7/8/15,18:37:33,37.2477,-97.5876,2.3
7/3/15,19:59:19,37.2322,-97.9591,2.9
7/2/15,22:45:36,37.0416,-97.8505,2.6
6/30/15,14:28:12,37.1448,-98.0106,2.3
6/15/15,19:49:06,37.0357,-97.9008,3.4
6/8/15,4:28:16,37.2353,-97.9531,3.4
6/5/15,23:12:47,37.2608,-97.922,4.1
6/5/15,23:12:41,37.2171,-97.9694,3.6
6/5/15,22:53:05,37.2214,-97.9528,3.2
6/2/15,0:58:09,37.0317,-97.9035,3.0
5/30/15,21:10:24,37.053,-97.9219,3.2
5/30/15,11:21:40,37.0346,-97.9128,3.6
5/28/15,16:44:32,37.0775,-97.8496,2.5
5/24/15,21:49:47,37.1399,-97.6474,3.4
5/23/15,18:44:27,37.4277,-98.9639,4.0
5/23/15,15:11:40,37.4409,-98.9383,3.3
5/22/15,16:43:35,37.1941,-98.0286,2.3
5/21/15,6:34:38,37.2835,-98.0566,2.2
5/14/15,10:04:32,37.0294,-97.8997,3.3
5/11/15,9:59:26,37.0573,-97.852,1.7
5/10/15,2:36:25,37.1998,-98.0446,2.0
5/6/15,15:38:10,37.17,-98.0179,2.7
5/6/15,10:05:07,37.2594,-98.0378,3.2
5/6/15,9:12:18,37.2462,-98.0526,3.0
5/6/15,9:12:09,37.2703,-98.0535,2.5
5/4/15,7:35:50,37.0803,-98.0329,2.9
5/2/15,8:30:35,37.1174,-98.015,2.7
4/29/15,7:01:53,37.013,-97.9219,2.5
4/22/15,13:48:10,37.0473,-97.9228,2.8
4/21/15,2:03:55,37.0032,-97.5862,2.1
4/19/15,22:33:56,37.0596,-97.9321,2.6
4/6/15,1:33:45,37.0724,-98.0476,3.0
4/4/15,17:47:25,37.2131,-98.0505,2.6
4/1/15,7:53:48,37.0694,-97.8289,2.2
3/29/15,23:26:10,37.0516,-97.9209,2.3
3/27/15,21:14:59,37.0944,-98.0581,2.3
3/27/15,20:20:33,37.0445,-97.9137,3.1
3/27/15,12:04:40,37.1561,-98.0112,2.1
3/26/15,13:44:03,37.2507,-97.6218,2.7
3/25/15,6:23:08,37.0653,-97.8437,2.3
3/25/15,1:58:58,37.2098,-98.0474,2.3
3/24/15,15:35:55,37.0887,-97.6317,3.2
3/24/15,15:31:51,37.1067,-97.6476,3.7
3/23/15,1:45:06,37.0533,-97.8878,2.0
3/21/15,9:29:28,37.1979,-98.0038,2.5
3/19/15,1:25:50,37.0428,-97.8364,2.6
3/19/15,0:00:19,37.0873,-97.8447,2.1
3/17/15,5:50:10,37.0019,-97.8145,3.2
3/16/15,6:13:12,37.1989,-97.881,2.8
3/16/15,5:48:27,37.213,-97.878,3.5
3/13/15,21:16:36,37.0781,-97.8537,2.1
3/11/15,13:05:38,37.0714,-97.8933,2.9
3/7/15,16:19:35,37.0723,-97.8955,2.1
3/5/15,16:19:09,37.2823,-98.0098,2.6
3/5/15,13:16:36,37.2943,-98.0171,1.9
3/5/15,6:03:23,37.0861,-97.9949,2.6
3/5/15,1:46:14,37.0984,-97.7958,2.9
3/3/15,15:56:01,37.1973,-97.9054,3.8
3/3/15,5:10:22,37.2742,-98.0518,2.8
3/1/15,2:47:20,37.0905,-97.8534,3.5
2/28/15,8:44:05,37.0902,-97.8391,2.8
2/28/15,0:37:56,37.0858,-97.8721,2.5
2/24/15,0:27:27,37.0809,-97.8549,2.0
2/22/15,5:55:00,37.2507,-98.0108,2.5
2/19/15,10:51:13,37.0538,-97.9427,2.3
2/18/15,22:23:45,37.1552,-97.8996,2.9
2/16/15,1:44:34,37.0293,-97.9188,2.0
2/15/15,18:27:08,37.1809,-97.9053,3.6
2/15/15,17:38:55,37.1856,-97.8789,2.9
2/14/15,18:09:22,37.0187,-97.9083,3.0
2/12/15,14:48:13,37.1836,-98.0511,2.7
2/10/15,7:32:35,37.2162,-98.0013,3.6
2/9/15,3:14:18,37.0599,-97.8548,2.4
2/5/15,10:32:06,37.077,-97.8485,2.9
2/4/15,13:20:31,37.1956,-97.8983,3.4
2/3/15,22:19:14,37.1022,-97.6653,3.4
2/1/15,0:00:09,37.0131,-98.1565,2.5
1/29/15,20:21:38,37.1848,-97.8359,3.4
1/29/15,5:58:18,37.0958,-97.6554,3.1
1/29/15,3:33:26,37.0925,-97.6367,3.1
1/28/15,17:42:02,37.203,-97.8937,3.0
1/27/15,9:28:29,37.0758,-97.6663,2.9
1/27/15,7:38:05,37.073,-97.6559,3.4
1/27/15,5:28:53,37.0821,-97.6646,3.1
1/25/15,1:35:09,37.1071,-97.7327,2.7
1/23/15,6:31:12,37.0957,-97.6434,2.1
1/23/15,4:00:41,37.0787,-97.6497,3.7
1/20/15,4:10:49,37.4568,-97.9617,2.6
1/19/15,9:54:31,37.1885,-97.8849,3.5
1/15/15,16:04:46,37.0502,-97.8994,2.9
1/15/15,16:01:48,37.2045,-97.5921,2.7
1/11/15,0:05:08,37.2031,-97.8874,2.9
1/10/15,16:36:26,37.1739,-97.9139,3.2
1/8/15,21:50:44,37.2002,-98.0229,2.2
1/8/15,19:23:38,37.263,-98.0338,2.3
1/8/15,11:47:35,37.1088,-98.0099,2.2
1/5/15,21:54:35,37.2586,-97.9503,2.9
1/4/15,23:57:18,37.2492,-98.0428,2.6
1/4/15,10:55:40,37.2385,-98.0076,3.5
10/8/15,21:15:23,37.061667,-98.051333,1.97
10/8/15,1:32:15,37.1585,-97.822667,2.39
10/7/15,10:01:37,37.062,-97.520167,1.8
10/7/15,0:39:53,37.331333,-97.505667,2.04
10/6/15,13:18:16,37.092167,-98.035167,2.18
10/4/15,19:22:25,37.323667,-97.513167,1.89
10/4/15,11:35:16,37.2255,-97.873833,2.46
10/4/15,7:41:33,37.322667,-97.5135,1.71
10/4/15,3:28:30,37.324,-97.513167,2.25
10/3/15,17:33:06,37.0882,-98.0387,2.9
10/3/15,9:46:07,37.059833,-97.523167,2.32
10/3/15,7:34:48,37.236833,-98.040667,1.88
10/3/15,5:11:58,37.1003,-97.6961,3.3
10/2/15,23:43:38,37.2315,-98.021333,1.77
10/2/15,17:14:29,37.204667,-97.974833,1.92
10/1/15,6:08:47,37.062167,-97.519333,2
10/1/15,3:45:46,37.063333,-97.520833,1.95
9/30/15,9:05:23,37.248,-97.555667,2.62
9/30/15,7:10:44,37.108333,-97.993667,1.98
9/29/15,3:29:24,37.001333,-97.995,1.86
9/28/15,10:48:52,37.058167,-97.5295,1.9
9/28/15,10:39:00,37.058833,-97.527333,1.82
9/28/15,1:39:50,37.062,-97.5183,2.5
9/28/15,1:39:50,37.062,-97.518333,2.49
9/25/15,1:16:13,37.099833,-97.701333,1.96
9/25/15,0:38:37,37.235,-97.965667,1.88
9/25/15,0:20:17,37.100333,-97.7005,2.07
9/22/15,16:19:02,37.158,-97.8235,2.36
9/22/15,16:18:54,37.158,-97.825167,1.68
9/22/15,7:55:33,37.061833,-97.520333,1.79
9/22/15,4:53:21,37.225667,-97.871333,2.43
9/21/15,11:27:12,37.225167,-97.8715,1.9
9/20/15,12:47:38,37.002833,-97.590333,2.09
9/20/15,11:17:52,37.0374,-97.9131,2.9
9/20/15,5:17:12,37.093,-97.601333,1.79
9/20/15,4:46:07,37.204,-97.975167,2.27
9/19/15,22:35:06,37.203333,-97.974333,1.96
9/19/15,17:13:34,37.002333,-97.5885,2.35
9/19/15,16:22:39,37.125,-97.557333,1.9
9/18/15,2:12:01,37.4453,-98.9217,3.7
9/17/15,8:00:52,37.225833,-97.871167,2.33
9/16/15,10:07:58,37.243,-98.038667,2.3
9/15/15,20:47:15,37.054667,-97.919,2.02
9/15/15,17:24:52,37.060167,-97.526333,2.31
9/15/15,13:35:20,37.062167,-97.526,1.79
9/15/15,5:29:21,37.059667,-97.528,1.86
9/14/15,21:34:51,37.054,-97.4994,2.7
9/14/15,13:02:37,37.06,-97.528667,2.22
9/14/15,3:25:47,37.233167,-98.012833,2.31
9/14/15,0:43:20,37.0585,-97.935333,1.99
9/13/15,23:16:34,37.057667,-97.934333,2.17
9/13/15,21:56:24,37.058667,-97.9355,2.04
9/13/15,19:45:23,37.0585,-97.932333,2.03
9/13/15,19:01:17,37.057667,-97.935167,1.82
9/13/15,18:39:11,37.057,-97.929833,1.75
9/13/15,8:36:53,37.060167,-97.527167,1.85
9/13/15,4:15:55,37.06,-97.527,2.52
9/12/15,21:08:28,37.058,-97.934833,1.91
9/12/15,17:45:05,37.059833,-97.526,2.54
9/12/15,17:45:05,37.0598,-97.526,2.5
9/12/15,17:40:38,37.061,-97.525333,2.4
9/12/15,15:26:04,37.0585,-97.934833,2.14
9/12/15,13:12:31,37.2686,-97.5907,2.3
9/12/15,4:42:07,37.058667,-97.935,1.75
9/12/15,0:55:33,37.0438,-97.9189,3.1
9/11/15,16:39:17,37.027667,-97.844333,2.5
9/11/15,14:59:13,37.051333,-97.922833,1.85
9/10/15,22:08:07,37.247833,-97.590333,1.75
9/10/15,17:24:49,37.087,-98.054333,1.85
9/9/15,7:47:24,37.300167,-97.613333,1.96
9/9/15,6:16:21,37.055,-97.9125,1.82
9/8/15,0:33:29,37.234,-98.010667,2.29
9/7/15,20:13:35,37.2518,-97.5514,1.9
9/7/15,9:02:38,37.258833,-98.0655,2.1
9/7/15,1:30:14,37.244167,-97.558167,2.42
9/6/15,17:58:25,37.299,-97.615167,1.9
9/6/15,14:44:58,37.232167,-97.974833,2.02
9/6/15,0:24:10,37.0465,-97.5224,2.5
9/5/15,23:52:53,37.0615,-97.523667,1.85
9/5/15,6:26:16,37.068,-97.837667,1.84
9/5/15,4:04:21,39.2827,-99.3519,2.6
9/4/15,10:57:41,37.177333,-97.795167,2.2
9/4/15,9:00:02,37.176833,-97.7965,2.62
9/4/15,5:58:29,37.0475,-97.923167,2.1
9/3/15,7:21:23,37.2538,-98.0857,2.7
9/3/15,6:25:11,37.23,-98.009667,1.89
9/2/15,6:04:06,37.1986,-97.9685,2.5
9/1/15,12:59:59,37.088333,-98.060833,2.15
9/1/15,12:40:04,37.062,-97.522833,1.72
9/1/15,12:39:44,37.247,-97.559333,1.7
9/1/15,12:21:31,37.0592,-97.8517,2.2
9/1/15,11:49:01,37.060833,-97.523667,1.95
9/1/15,11:41:00,37.0376,-97.5292,3.1
9/1/15,4:29:17,37.0605,-97.523,2.23
9/1/15,1:36:47,37.059333,-97.526167,1.87
8/30/15,21:29:57,37.119,-97.820667,1.96
8/30/15,21:28:22,37.0605,-97.525333,2.09
8/30/15,21:12:37,37.061333,-97.523167,2.71
8/30/15,6:38:45,37.060167,-97.525333,2.01
8/30/15,6:03:21,37.063833,-97.520333,2.47
8/30/15,4:47:59,37.058833,-97.5255,1.83
8/30/15,1:19:14,37.059833,-97.526667,1.94
8/29/15,21:10:47,37.002,-98.046667,2
8/29/15,19:46:44,37.060333,-97.525167,2.3
8/29/15,19:36:24,37.061167,-97.521167,1.95
8/29/15,15:54:19,37.054667,-97.665833,1.99
8/29/15,14:39:05,37.056,-97.4919,3.1
8/29/15,14:14:03,37.210167,-97.9855,2.22
8/29/15,12:14:03,37.1056,-98.0008,2.6
8/29/15,8:53:33,37.062167,-97.522167,2.15
8/27/15,23:30:35,37.060833,-97.525833,1.96
8/27/15,23:20:05,37.0579,-97.521,3
8/27/15,16:02:55,37.060833,-97.523833,1.85
8/27/15,14:41:52,37.218167,-97.9735,1.97
8/27/15,6:49:47,37.063167,-97.523,1.85
8/27/15,6:18:39,37.060167,-97.5245,2.32
8/27/15,5:21:09,37.060667,-97.522833,2.16
8/25/15,21:50:50,37.158,-97.822,2.03
8/25/15,13:35:00,37.057833,-97.861833,1.87
8/23/15,17:12:52,37.054,-97.910667,1.97
8/23/15,12:57:01,37.227833,-98.017333,2.25
8/22/15,21:04:25,37.055667,-97.8635,1.82
8/22/15,17:35:24,37.0463,-97.8995,2.2
8/22/15,9:10:01,37.0595,-97.526833,1.94
8/22/15,5:07:56,37.092,-98.008333,2.05
8/22/15,4:04:16,37.053667,-97.916167,2.29
8/21/15,5:57:22,37.172333,-97.792333,1.84
8/20/15,13:34:37,37.052,-97.914,2.21
8/20/15,13:17:54,37.0542,-97.914,3.4
8/18/15,15:21:39,37.097667,-97.862167,1.97
8/18/15,7:33:11,37.253333,-98.066667,1.8
8/16/15,9:50:45,37.315833,-97.4835,2.15
8/14/15,21:55:24,37.009,-97.560333,2.25
8/12/15,23:56:31,37.157167,-97.825667,1.8
8/12/15,22:33:01,37.003,-97.596,1.95
8/12/15,21:28:59,37.0055,-97.591833,2.02
8/12/15,21:07:25,37.160333,-97.8235,1.95
8/12/15,18:29:55,37.158667,-97.824833,1.82
8/12/15,16:26:23,37.222833,-98.010667,1.83
8/12/15,15:37:02,37.222,-98.011,1.94
8/12/15,8:30:20,37.055167,-97.944833,1.91
8/12/15,8:16:47,37.0615,-97.526167,1.58
8/12/15,7:25:09,37.0035,-97.587833,2.09
8/9/15,22:23:26,37.052667,-97.914167,1.92
8/9/15,18:12:41,37.044667,-97.898,1.92
8/8/15,13:57:33,37.038,-97.8931,3.1
8/7/15,20:21:33,37.01,-97.559,2.24
8/7/15,16:35:32,37.009333,-97.56,1.94
8/7/15,15:49:25,37.055333,-97.862167,2.14
8/7/15,8:14:05,37.057,-97.8605,1.9
8/6/15,9:42:48,37.157667,-97.8245,1.86
8/5/15,3:46:11,37.083,-97.7305,2.1
8/5/15,3:13:56,37.102833,-97.640667,1.97
8/4/15,16:31:34,37.023,-97.944,2.9
8/4/15,16:31:34,37.023667,-97.946,2.47
7/31/15,5:27:37,37.097667,-97.629833,1.88
7/30/15,18:41:49,37.098167,-97.861667,1.99
7/30/15,12:19:43,37.097167,-97.859833,1.72
7/29/15,13:38:51,37.089833,-98.009333,2.54
7/29/15,13:36:20,37.086833,-98.004833,2.06
7/29/15,6:30:15,37.1875,-97.995,2.35
7/28/15,17:25:55,37.157667,-97.826333,2.02
7/28/15,1:53:18,37.1585,-97.825167,2.6
7/28/15,1:53:08,37.158,-97.825833,2.04
7/27/15,5:12:25,37.158167,-97.824333,1.75
7/27/15,3:43:43,37.072,-97.9973,2.8
7/26/15,20:59:10,37.098167,-97.861167,1.74
7/26/15,16:40:45,37.157333,-97.824833,1.5
7/26/15,16:40:12,37.157333,-97.825167,1.85
7/26/15,15:30:39,37.236167,-97.963833,2.16
7/26/15,7:44:31,37.1885,-97.987833,2.1
7/26/15,2:19:06,37.093167,-98.0365,1.91
7/22/15,17:21:46,37.0082,-97.9117,2.7
7/22/15,3:17:41,37.026,-97.9354,2.8
7/19/15,8:53:18,37.3358,-98.18,2.8
7/14/15,15:33:25,37.0349,-97.915,2.6
7/13/15,2:44:09,37.2391,-98.0407,2.7
7/12/15,1:28:22,37.0528,-97.9469,2.5
7/10/15,5:00:17,37.6119,-97.7634,2.8
7/8/15,23:10:08,37.0133,-99.224,2.7
7/8/15,23:08:24,37.0674,-99.1637,2.6
7/8/15,18:37:33,37.2477,-97.5876,2.3
7/3/15,19:59:19,37.2322,-97.9591,2.9
7/2/15,22:45:36,37.0416,-97.8505,2.6
6/30/15,14:28:12,37.1448,-98.0106,2.3
6/15/15,19:49:06,37.0357,-97.9008,3.4
6/8/15,4:28:16,37.2353,-97.9531,3.4
6/5/15,23:12:47,37.2608,-97.922,4.1
6/5/15,23:12:41,37.2171,-97.9694,3.6
6/5/15,22:53:05,37.2214,-97.9528,3.2
6/2/15,0:58:09,37.0317,-97.9035,3
5/30/15,21:10:24,37.053,-97.9219,3.1
5/30/15,11:21:40,37.0346,-97.9128,3.8
5/28/15,16:44:32,37.0775,-97.8496,2.5
5/24/15,21:49:47,37.1399,-97.6474,3.4
5/23/15,18:44:27,37.4277,-98.9639,4
5/23/15,15:11:40,37.4409,-98.9383,3.3
5/22/15,16:43:35,37.1941,-98.0286,2.3
5/21/15,6:34:38,37.2835,-98.0566,2.2
5/14/15,10:04:32,37.0294,-97.8997,3.3
5/11/15,9:59:26,37.0573,-97.852,1.7
5/10/15,2:36:25,37.1998,-98.0446,2
5/6/15,15:38:10,37.17,-98.0179,2.7
5/6/15,10:05:07,37.2594,-98.0378,3.2
5/6/15,9:12:18,37.2462,-98.0526,3
5/6/15,9:12:09,37.2703,-98.0535,2.9
5/4/15,7:35:50,37.0803,-98.0329,2.9
5/2/15,8:30:35,37.1174,-98.015,2.7
4/29/15,7:01:53,37.013,-97.9219,2.6
4/22/15,13:48:10,37.0473,-97.9228,2.8
4/21/15,2:03:55,37.0032,-97.5862,2.2
